,Comment
624,"I murdered...you are forgiven. <br><br>26 Now it came to pass that they were taken and brought up before the judge, to be judged of the crime which they had done, according to the law which had been given by the people. <br><br>27 Now it came to pass that those judges had many friends and kindreds; and the remainder, yea, even almost all the lawyers and the high priests, did gather themselves together, and unite with the kindreds of those judges who were to be tried according to the law. <br><br>28 And they did enter into a covenant one with another, yea, even into that covenant which was given by them of old, which covenant was given and administered by the devil, to combine against all righteousness. <br><br>29 Therefore they did combine against the people of the Lord, and enter into a covenant to destroy them, and to deliver those who were guilty of murder from the grasp of justice, which was about to be administered according to the law. <br><br>30 And they did set at defiance the law and the rights of their country; and they did covenant one with another to destroy the governor, and to establish a king over the land, that the land should no more be at liberty but should be subject unto kings. <br><br>3 Nephi <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=386"">6:26</a>-30 <br>The Book of Mormon"
625,hum ma se majority 100 saal baad tak nahi ho gy
626,Love you dinosaur 😢😢❤
627,"Good evening sir...i actually never watch channel on YouTube..but i watch many of ur videos with my kids...its very interesting and informative,👍"
628,एक बार और आना चाहिए वभी जल्दी 😀😀😀
629,🎉
630,Who noticed Thanos 😂😂
631,अरे यार ध्रुव आदम और हव्वा रहे होंगे तुमने ध्यान से नही देखा। देखना तुम्हारे रिलीजन ऑफ पीस वाले नाराज हो जायेंगे।😂😂😂
632,Hii sir very very nice video ❤❤❤❤
633,Very informative video❤
634,bahi  is polution ko rokne ke liye mai  kya karu  ek pradhan mantri bana dijiye bas fhir dekhana ap
635,Best videos ever 😍🔥🔥👌
636,1 million me hi khatam ho jayenge insaan ..  reason 0.3 million me ye haal h ..  abhi 0.7 million years bacha h
637,This is mind blowing 😮
638,Mind-blowing
639,BEFORE 1 MILLION YRS
640,50000 साल बहोत हैं
641,I am Pakistani Well done but Allah knows better
642,There is no way humans will survive more than dinosours....i think if we dont take serious steps to control global warming today we can hardly survive for more 1000 years.
643,Archaeopteryx was the one I noticed more kdrama people will relate to it😂
644,Namaste😮😮
645,Quetzalcoatlus bird maine bhot bar dechie hai speed 11-12 meters ki speed mai
646,"Bhai dhruv, Uday hussein pe bhi ek video banao to maza aa jaye"
647,Yani pahela fossi usse pahele mila hoga badme jab use identified karne baad 1841 introduce kiya gaya hoga
648,Actualt india me 1828 me dinosaurs ki reed ki haddi mili thi phir uske baad 1877 me confirm kiya ki vo ek dinosaur ke fossils hain
649,"Personally, I think humans are better off extinct. All we do is take and take and destroy and destroy, without giving anything back or creating anything useful."
650,Dinasaurs ke kankaal toh mil gaye lekin vo 10 sir wale RAVAN ka kankaal nahi mila 😂😂
651,That is well described Evolution. Thanks for the information. Keep it up.
652,Very knowledgeable video  .... loved it
653,👍👍👍
654,we can&#39;t even stay 5% of their era
655,No qayamat kareeb haii😢
656,Bhai main toh roj ja raha hun apne past main 😢
657,Greatest educational video by dhruv ratheee ji
658,Dusro ki nahi lakin mai to 2100 saal se pahle extinct ho jaunga 😂😂😂
659,Tu kya uss samay tha...itna Gyan kaha se pelta hai..Thora kha pi le..lagta hai Teri Gori tujhe khilata Nehi hai..fokat mein Gyan aur subscriber ko ullu banake paisa kamana
660,I like this video more than any other your videos ❤❤❤
661,100 million saal 😂😂😂😂😂 sab jhot hai
662,Sab fake hai khoi astriod na hi gira
663,Dinosaur king anime ke baare main video banao
664,unbelievable ❤
665,Insaan Ane bale baqt ki musibat se nhi basega  insaan khudka mrityu khud hi bula rahe hai 😢 meri baat ki deep meaning hai
666,Plz Dr Mera hum lala moreh manipur
667,Moreh Mera town hai
668,Hum manipur Ka hai solve karo plz hum lala
669,We will extinct before 10 million years 😮
670,Dinosaur aaye kahan se
671,thanku dhruv bhai for this special video....i got to know about gond community peoples and gondwana island
672,"Though, we means humans tried their best to survive , there should be a end for everything. Here the point humans leave that to nature like dinosaurs or humans themselves distroy the earth and end the human beings. nature gives more more time for human being like dinosaurs but but it seems noe human beings are hurry to distroy ourselves before than that"
673,Wow
674,I am class 11 humanities student shreya and really It&#39;s amazing video and always watch your video&#39;s on YouTube 🙏😊
675,obviously Allah know better than that of humans and he say in Quran that only he now that when the world destroyed all the scientist contributions are already described in the Quran before 1400 years ago
676,this man deserve Golden awards ❤️😉💙🤝🏻
677,Dinosaur ke bhi achhe din aake chla gya ...hamara nahi aaya😢😢
678,"Bechare dinasore ,insaano se ziyada yeh deserve karte the jeena , jeise ab kalyug chl rha ha"
679,Chube khute 😅
680,Theries of evolution par b aise hi video bnaiye na plz
681,thanks to hinduism which specified the importance of Guru (jupitor) planet
682,lekin adam toh phle aye the
683,Great ❤
684,Poor dinosaurs had to go through alot for us 😢
685,Yesahi raha toh insan 1 million nahi 0.5 million mehi khatam hojatega
686,Nice 👍🙂
687,If humans co-operate
688,Itna to steven bhai ne bhi research nahi kia hoga ... Jurassic Park banate waqt
689,"Bro hats off to you to make such a great educational videos on everything , I would like to make one more such a video of entropy <br>❤❤"
690,We feel intelligent and different when we watch dhruv rathe
691,Bhai aap bahut achha batate ho❤
692,Salaar is dinosaurs<br><br>Did you watch teaser of salaar
693,Insaan ashraful makhlukat hai
694,2029 APOPHIS
695,skinwalker  kaa. Video bana sakte hoo .... brother....ap kaa video mei har din dekta ho.all..bohot assa lagta hai .. thanks for evar
696,Maja agaya bhai
697,"But where were God, Allha, Jesus, bhagwan? <br>Observe kr rahe hai the kya. 😅<br>To show stories to human without telling stories kf dianasourse."
698,Ye kaise pta lgate hai ki kon si chiz kitni purani hai
699,At first u said 90kmph <br>Then u said maximum is 80kmph 😂
700,The way he explain has won my heart ..i just watch his videos ones and i always remember the things he tought us really amazing 🪄👌💥
701,Mai 1 lakh tree lagauga apni taraf se
702,No andhbhakt and andhnamazi harmed in this video 😂. Ab ye log bolenge dinosaurs america ne banaye hai humare majhab aur dharm ke logo ko bhatkane. Uneducated hindu muslims.
703,Fake Story
704,"Answer of your last question is, <br><br> some thousand years later the solar system will collapse, 😢and humans will be surprised and disappointed badly 😞"
705,Class 12 NCERT &quot;EVOLUTION&quot; Oneshot with &quot;FUN&quot; 😂💜
706,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=955"">15:55</a> 😢 man they are true history of earth all time owner of planet earth 👑"
707,Dhruv Rathee bhai aap apni ek video mein saare ke saare dinosaur ke upar ek video banaiye aur uss video mein saare dinosaur ke naam aur unki asli photo bhi
708,Le muslims laughing in corner they know about qayamat
709,Ek din is gareeb ka bhi channel grow hoga 😢
710,Isme aag nikalne wala dinosaur bhi hai kya kya vo real bhi hai 😅😅😅
711,reptile kis angle se cute dikhta tha.
712,Fuudu banda ik number da eh
713,I wonder how much poop had came out of their butt
714,"Human beings are the biggest treat  for the earth. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Who else noticed Thanos.😅😅<br><a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=617"">10:17</a>"
715,Agar kbhi wo asteroid kbhi takrata hi nhi  ✅✅✅🙏
716,Asteroid bade hue to us asteroid ke mukable
717,I love this man just only for his content ❤️❤️❤️❤️👍❤️❤️❤️❤️❤️
718,I just love to think about it ke etna bada explosion hone ke baad bhe earth ko kuch bhe nahi hua har cheez etne jyada balanced hai ke espar baar baar sawaal uthata hai dimaag ke acutally me real hai ya nhi....
719,No one like u man ❤
720,Impossible
721,Insan 10 millon years toh kya 5 million years bhi nahi exist kar payega gharti par😢😢😢
722,Yes human can finish
723,Greate educational video druv rathe
724,Of course ab ka time main asa hi lagta hai ka ana wala kuch salon main dunya hi katam ho gay gi pir na to dunya ho ki or na yahan par koi life 😔😔
725,Thanos ki snap ki vajah se dinosaur gayab ho gaye 😂😂
726,Nothing is parmanant
727,Quran mentioned it 14k years ago.......
728,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=984"">16:24</a> laugh😂"
729,Things comes nd goes but namashkar dostoo still permanent <br>Druve rathee .... Love from pakistan watching ur videos daily <br>Keep wacthing old ones nd always waits for new one
730,Sahi baat hai Bhai
731,Answer: i dont think we Humen can survive a Million years.
732,500 year
733,Samaj me Nehi  aaraha ki innka photos kisne liya hoga😂
734,Jitna mene school or college se nahi sikha usse kahi gunna jyada apke videos ke madhyam se sikha hun 😅 bahut aacha se explain karte ho aap . bahut sukun milta hai apki video dekh kar din aache se gujar gaya aisa feel hota hai .😅😂 Dhanyawad sir
735,As per the current trend it&#39;s very difficult to cross 1 million years
736,Muje nai lagta ki 1m Tak log rahenge ensan. ensan ko khalega 😆
737,Agg sa 3 year phala mara dada abu ne muga ek bat batai thi dada abu ne muga pata tha ka JAB TUMARAI umer 16 saal ki ho gyi gi ne tab log tumara comment par kar apna time waste kara gya 😂😂
738,Kya hm sb bhi Marne wale hain😢😢😂👈💯💯
739,V interesting
740,Only one Allah ☝️
741,©
742,Hm ni manty k insan prhly MONKEY Thy yah boHt he jahil qism Ki bat h koi b ni agree krta
743,Can u make one video comparing when humans came into the story ?
744,1m se pehle insan khtm ho jyega
745,Koi bhi dharti ko bachata Nahin hai Sare hi dharti ko nuksan kar rahe hain aur usmein se ham bhi hain aur vah din dur Nahin jab dharti Ka bahut jald vinash hoga😢
746,Woooow....dhruve...! You are an amaizing person❤
747,NOT RICH UP TO 0.9 M
748,🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰
749,no its not possible because arthopogenic activty
750,Go for it sir🥰🥰
751,Bhai aap gs padhaiye n please corse lekar aaye please🙏🙏 sir
752,You are legend
753,Humans &amp; modern technology  has destroyed the earth already
754,"Hi Dhruv. The video is very good 👍. But, the dinosaur extinction was not the greatest extinction ever. It was the Great dying. Just so you know"
755,Dinosaurs are not real
756,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=923"">15:23</a> thankyou so much asteroid, tmhare wjh se hi aaj hm utube aur insta chla pa rhe...aur setting se batt v😂😂"
757,1 million v pura kar nahi payega insan...jesa chal raha hai mera nazar mai.
758,What about elephant mammals???
759,Hazrat Adam was first man on earth.and in Sri Lanka
760,Ek sawal mera bhi humare kisi bhi Garnth me DIOUNASUR ka zikar kyu nhi hain.. Kyuki humara dharm toh bhut purana h?????
761,Dhruv tale me one thing ye video me tumne jo information di vo scientific he to kya etne million years k pehle God the? <br>Ham jise God samjte hai book k thru vo to hmare jese human k bich rhte the yahi story sunte aa rhe he hm to kya God hai ya ye video sach hai koi ek bat sach ho sakti hai  plz ans.... Anybody
762,Knowledgeable 🥰🥰😮😮🙏🙏🙏🙏🙏🙏🥰
763,Bhai please costa cornidia disaster vdo it&#39;s Titanic se bada ship distarer 😢
764,I like his science fiction and historical videos.. It&#39;s just some political statements given by him which bring hates towards him..
765,It&#39;s just so sad to learn that we humans will be the reason behind 6th mass extinction level event. We are so self destructive 😢
766,Ek question @dhruvrathi phir god kb aaye kese aaye
767,How can come the earth has never been hit again by an asteroid of such magnitude?
768,Iska matlab ye hai ki hum chicken ke naam pe dynasor kha rahe hai dhruv bhaiya......😂😂😂😂😂😂......I am jocking❤❤❤😂😂😂😂
769,"Really appreciate your work bro, keep it up ❤️👍 very nice video"
770,"Class 12th Evolution chapter completed, now time to watch ❤❤❤❤❤❤"
771,Thanos 🫰😂
772,Well tell
773,Insaan na hota to kitna acha hota ❤
774,Professional video editor so amazing edit❤❤
775,How astroid speed 30 kmph was calculated??? 😂
776,I cant stopbut see all your videos
777,4.5 billion years ago 😊
778,You are extremely extraordinary😮
779,It&#39;s upon Allah
780,"Dinosaur Dekhne ka sapna, sapna hi reh Gaya 🥲"
781,Only 100 years
782,"18: <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1096"">18:16</a>"
783,You are awesome. I like your videos so much. Love from INDIA❤❤❤❤
784,Good video 👍
785,The word evolution is latin word bro not greek😂😂
786,Jurassic world film 🎉🎉🎉
787,"According to 12th ncert it is  Brachiosaurus  <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=525"">8:45</a><br><br>T-rax = Tyrannosaurus"
788,No humans can&#39;t beat dinosaurs🦕
789,We are destroyer 😢😢😢😢
790,Today my life is best jokes 🤣🤣
791,Biology students 😁😁
792,Very  nice 👌
793,So many information you gave me always.. Dhruv Rathee sir Thank you so much❤👍
794,bhai dunya tab tak khattam nhin ho gi jab tak ALLAH na chahe
795,भाई वह सब तो ठीक है लेकिन इसमें भगवान कहां पर है 😅😅
796,Asteroid erth se takaraya sirf theory he😅
797,Asteroid se sirf dianosor mare??
798,यहां पर कोई धर्म के ठेकेदार है जो कहते थे की इंसान को भगवान ने बनाया है ?😂😂😂
799,"उस समय कोई डायनोसोर बाबा, देवी, गॉड, अल्लाह, था 😂😂😂😂"
800,Dhruv Rathi ji Maine aapse 2000 rupaye Manga tha aapane to nahin diya aap ek kam kar sakte ho my music star Banna chahta hun mera halat Aisa nahin na ki main ban paise Kami hai aap banaa do Guru main aapko bulaunga aur sabse bada star ban ke
801,I&#39;m gonna ace my history test because of this guy
802,Keep it up Bro❤
803,"Thank you for such a wonderful explanation, Sir!"
804,Cuteie pie
805,Amazing video as always ❤<br>Love you dhruv sir 🥰🤩 <br>my favorite teacher🙇🙏
806,💩 pooped 💩 😅
807,🔥🔥🔥🔥🔥🔥🔥🔥🔥
808,Human will destroy earlier than dinasours
809,Op
810,ravindra kaushik par video bnao bhai topic on a brave raw agent black tiger❤
811,Bahi abb ka dinosaur matalab murga or murgi or jo udta hai o kabutar kauua 😂😂😂👍
812,Quantum computer pe video bnaen?
813,Godzilla Naam Se Koi dinosaur hai kya
814,Sir please new video ❤😮 कब आयेगा 😊
815,"Religion (hindu, islam) doesn&#39;t believe evolution theory 😅"
816,"Loved it, u r doing an awesome work, great extensive description. Dhruv bro let&#39;s make a video about the evolution of Homo sapiens as well. Like how we evolved, how we came into existence."
817,Most valuable channel
818,Save trees save Earth ❤
819,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1207"">20:07</a> imagine  takrane ke baad vo earth ki taraf mood jata to! 😂🤣😂🤣"
820,wow your explanation is awesome yrr
821,Earth ni bachega.. Qayamat ana hi hai ek din as per Quran
822,BEST INFORMATIONS VIDEO VERY BEAUTIFUL EXPECTATIONS
823,Love ❤️❤️❤️❤️
824,Dainasaur k bad hazrat Adam as dunia ma at thy Allah na bheja tha unko wo dunia k pehly insan thy or unky sath unki wife bhi thi AMMA hawa Allah buhat ghafur  Ur Rahim ha bro logo bro logo ko ghalat na guide kro
825,Maine petrol bike bech di go green 💚💚💚🍏😂
826,Keep it up bro
827,Earth Restart it&#39;s self after some hundred years by the help of Humans 😔
828,"This person is very bad, he is causing a lot of harm to the earth."
829,Looks plus brain u are a good combo.. ap to love me bhi logic dhondain gay masla ho gae ga apki wife kay lie
830,"Sir I am very appreciated about how you upload the videos. I think the answer of the question is yes. Yes we can beat the records set by the dinosaurs only if we are more concerned about Earth. Am I right? <br>:- Well, one main reason is that we are the only mammals who had the ability to think, understand, react and bring the change which might change the future."
831,😅😅well information good show 😅
832,"Maintaining discipline in the classroom is essential for creating a conducive learning environment. When all students adhere to rules and guidelines, it fosters a sense of respect and order, allowing teachers to effectively convey their lessons. Moreover, discipline not only benefits academic progress but also teaches important life skills such as responsibility and self-control. It is a collective effort that involves both educators and students, working together to ensure a harmonious and productive educational experience. In a disciplined classroom, students can thrive academically and develop the necessary skills to succeed in the broader context of life."
833,You are the most pathetic guy on earth Dhruv
834,human extension  2024 🤣🤣  Diwali me population dhek kar pata chalta hai
835,Bahot badhiya samjate ho tum.....humara bhi Gyan badhta he tumhari  vajese...thank you for all videos
836,Bhai apan ne unhe bhagte hue dekha he nhi phir kaise speed pata lagi plz explain 🙏 apan unki age weight to pata kar sakte hai but how we can predict there speed
837,Amazing.. enlightening and amusing too due to the advancement of our science and how little we know about those inventions
838,You are just fabulous bro no one can beat u your content and your concept are very knowledge full for our siblings and upcoming generation 😊😊❤
839,2050 and the earth 😅😅
840,Dhurva rathee definitely cross century because from last 5 years his pwesonality doesn&#39;t change
841,The only species to have withstood the brunt of that asteroid is dhruv rathee😂😂
842,Carbon dating se sirf earth pe aane ke baad ka time pata chala hoga na usse pehle wo asteroid kab bana wo nahi pata chala hoga
843,It&#39;s really helpful sir ❤
844,thanks sir for the video❤🙏
845,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1040"">17:20</a> that laugh😂😂"
846,Is it possible for dinosaurs to have furr?? What if dinosaurs were big furry animals?
847,Grear video sir
848,I love you brother ❤
849,I love Science I love Jurassic Park ❤
850,"Hey Dhruv, you can talk about the new devices which are recolutionising computing but are rarely known. It’s not Quantum Computing, not gpu, et cetera. They are termed as “Memristors”."
851,Humans are worst creatures nature ever produced
852,4 million years mein to milky way Andromeda collision hoga
853,❤❤❤
854,Max 500 yrs left for humans
855,"Very nice ,all videos screen play are good."
856,I think aap ko power rangers dekh na chahiye us mai bhi aap ko pata chalega
857,Bad😂😅
858,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1426"">23:46</a> Impossible.. human beings wont live and will not cross 174 million years as AI and Robot will take over and vanish Human Beings"
859,Gem 💎
860,Dinasour ko phele dragon ke naam se jaana jatha tha.what about mokle membe &amp; kongo moto
861,no bakwas sidhi baat aur topic pe aate hy  plus jo samjhate hy saab details me hy aur easy hy aap thats why i love your video
862,Dhruv rathee deserves more views and more subscribers than Saurav joshi who just shows his everyday life.<br>No hard work and he is getting fame.
863,if evolution brought dinosaurs then why they did not appear again with evolution ? seems fake evolution theory not proven
864,Sir 66 million years old ka kya matlab iridium ka earth par aana ya space me iridium ka formation sir please explain 😮😮
865,Thanks dhruv bro.. Maza aata hai apke video dekh ke.
866,humans cannot survive so many million years like dinosaurs as we destroy our earth in the name of development
867,Outro song??
868,"ध्रुव राठी जी, इतना अविश्वसनीय वीडियो दिखाने के लिए बहुत-बहुत धन्यवाद। लेकिन वास्तव में यह सच है। आपको बार-बार बहुत-बहुत धन्यवाद और सलाम"
869,Fabulous efforts 👏
870,En dinosaurs ka dhrm kya tha...😂😂
871,God&#39;s plan
872,"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=417"">6:57</a> Archaeopteryx 😂<br>If u know u know....."
873,"Pterosaurs were not Dinosaurs. You kept referring to them as flying dinosaurs, even said that birds evolved from pterosaurs, which is wrong. But overall great video 📸"
874,"Nasa is doing such a great Job, huge respect to those scientists ❤"
875,Insaan evolved only 3lac years ago
876,"230 million year ago first dinasour got traced panjea age, dry arid environment---&gt;triasic perion dinasours started emerging<br><br>Pangea broke into pieces because of volcanic eruption sulphur dioxide and CO2 gas released which polluted oceans creature and when released in atmosphere blocked the sun radiation and extreme cold appeared only warm blooded survived <br><br>including dinosaur turtle early mammals and crocodiles now this period is called Jurassic<br><br>201m years ---145 million year before---&gt; JURASSIC PERIOD<br><br><br>Agla period The cretaceous period--&gt; har qism k dinosaur <br>145million to65million years ago<br><br>10-15km ---30km/s asteroid crashed earth 66m years ago<br>180km ka gadha 1billion times &gt; energy than atomic bomb<br>A lot of dust raised land very hot<br>Whole earth temp raised<br>Chote chote animals survive kr gae-- sea underwated caves mn chup kr<br>2km oncha sunami earthquake<br>Dust and co2 so2 blocked sun rays---extreme freezing temp<br>Animals died, no photosynthesis no plants u ko khaane wale mar gae unko khane wale mar gae<br>Mamels turtle lizard birds by eating fungus and dinosaurs<br><br>Dust hat gae but Co2 ne ab global warming krdi<br>75% creatures died<br>Paleogene period--&gt; now mamels evolve<br><br>Flying dinasours survived and evolve to birds birds and dinasaur are same<br><br>Trex most dangerous dina evolved to hen<br><br>Iridium is not on earth but asteriod have--&gt; irridium got found in various places of earth proved asteriod thing and carbon dating told age 66millions years ago"
877,Content Copied from Ridddle 😢
878,It&#39;s always great to watch your content
879,Pata nahi aisa patthar aaj kal me kiyu nahi girta 😂
880,To aap ne ak video me bola hai ki  is dharti par sabse pahale Adam aur arra aye the
881,Insan was created.... Not by ivolution ... Mark it...
882,"Do you believe the  Big Bang explosion made all the planets in a sequence at a fixed distance and started encircling the Sun and one planet (Earth) became with water and plants, Animals Apes and Dinosours? Wah Rathee Sabab, Scientists made us fools and We are still praising their never unmatching story like Quran.  Dinosours were existed before Noah. At the time of Noah, the population were very less on the Earth and Gorillas and other wild animals were present at that time. Dinosaurs were existed at that time. The Dinosaurs were destroyed during the great flood in Noah’s time."
883,"It is a human made story for their business and fame. Don’t be silly Mr Dhruv, Do you really believe that Earth is billions of years old? Come on dear. Be practical and think without human being the earth was existed, No sir, because on this earth Human Beings are the most important living creature in all time in History. Without human beings earth in nothing. Of course Human beings were populated gradually. The density of population  were increased gradually as there were a few people before twenty or twenty thousand years which now filled on the earth. Scientists says everything were existed on this earth and human beings were developed as today’s human being from Apes (Monkey) They produced human beings without tail in million of years.  Hilarious to hear this joke. I am not from the Monkey family. I am from God. I can prove the same. What was Elephant at those years of evolution? How was Ants and Birds  billions of years back? Come on Kisko Befakoof Nanara hai yeh scientists?"
884,100 sal ke amdar 😅
885,Very nice contents
886,Want video on &quot;cast census &quot;.
887,"Today I feel I completed my Geography, History &amp; Science 😁"
888,"Dinosaurs lived with mankind, they are not millions of years old, please try to know the real truth."
889,Dhruv bhaiya youre great❤️ bhagwan ji kahase aaye utpati kab aur kaise huyi uspar ek video banao pls
890,Because Noah didn&#39;t have place in his ark
891,thats are animals relatives of animals
892,Make video on giant ant city brasil
893,🙄🙄ek min...Insaan evolve kb huye akhir🤧🤧dinosaurs sy pehly k6 tha?insan un sy pehly thy?🙄
894,How ostrich ancestors survive ?
895,1 million se phale<br>I m sure<br>We are careless
896,❤😊 knowledge is so adorable nd valuable ❤thank you so much 💗☺️ bhai
897,Best speech
898,Yah humara quran pak main 1400 soo saal phalay bola gaya hai ❤❤❤ proud to b a muslim
899,How paleontologists calculate the age ?
900,Very informative video brother ❤
901,Excellent video
902,My graet youtuber
903,i will send you comment after we go to heaven 🤣🤣
904,@dhruvrathee that namsakar dosto made me to watch and love your videos best videos❤
905,Insan ka time sabse km hoga. Men is universal dangerous.. men comparison nhi ho  sakata bure bhi bura..insan insan ki wajah se नष्ट hoga
906,humans couldn&#39;t extinct till 0.4 million years on this planet😢 because we are distroying everything.
907,"Aaj kal 1 ped lagate hai aor 10 log pic khichvat hai ki aaj humne brachchha ropan Kia ped bechare social media me hi bache hai ,real life me ped rhe ya na rhe"
908,❤❤❤❤❤❤❤❤❤
909,2milion Tak hi exit kar payenge
910,❤❤❤❤ ilove you sir
911,میرا اللّٰہ اگر چاہے تو ابھی اس دنیا کو فنا کر دے یہ ناسا کچھ نہیں کر سکے گا۔
912,"In future , everything will get vanish. And we call that day of destruction 👉 &quot;QAYAMAT&quot;"
913,Ham Insan Itna Chalak Hain Kyon Humse Jyada Bhale Jiye hain abhi Aane Wala cal Hamara hi hai aur rahega Kyunki ham log alag alag chijon per kam Karenge jaise ki dusre grahon per Rahana Khatre ko pahle hi bhap Lena isase Hamari Jindagi Sukumar acchi Rahegi Hamesha Hamesha ke liye
914,Sir your knowledge is incredible
915,इंसान तो मरेगा क्यों की उसकी हरकतें सही नही है
916,A lizard is cute for him 💀
917,"😂please tell how china sells dinasours fake bones and dinasours are just imaginations of paleontologists, and never a full skeleton were found, they show you fake bones, it is to make us beleive in evolution,<br>Andhbhakt of west"
918,Nasa walle bahut khatarnak h 😂😂
919,Awesome explanation well done keep it up 👏👍
920,Effects to save humans 🐱
921,kalki avtar
922,Literally we are very thankful to Allah SWT we are aware from this scientist 😂
923,Bhai mere Kuch bhi faida nai hai Dimaq k itne ghode daudake 😂 ye sab Kuch bhi exists nai kerte mere Bhai instead of this researchers U must research from Quran if u want to know evolution u must read Noah AS story 👍
924,"Sir agar Aisa hi chalta raha to human civilization ka ant jald hi ho gayega <br>Human apna ant khud karege kyuki itne war atom bomb,global warming, population"
925,Man liya Sab thik hai par insano ka purbaj jo dikhya O galat hai tum logo ka purbaj bandar rahe hoge Mera nahi😂😂
926,O Bhai ap na end pa ai ka bandro sa insan ka  Evolution  direct he kar dia YA ni batia ka bandro sa kasa insan ban o Bhai ya choot ha Islam ko study karo ap ko sab Bata chil jy ga.
927,Aaj ki generation mujre krne me lagi hai
928,Hahaha everything in this video is just a piece of assumptions of scientist. No body was there at that time so this is totally shit according to me. And how it is proved that this happens 66 millions years ago. How we know scientists are 100% accurate. Btw good content and awsme editing❤
929,"Give us a specific video about Titano Boa , please... Was it really exist? Or is it a myth or mystery??"
930,❤❤❤❤❤
931,Ye sab mere Allah ki marzi ha wo duniya ko chalane wala ha na usne kisi ko janam Diya na wo kisi se janma or wo akela ha or wo hamesha se ha
932,𝕋ℍ𝔸ℕ𝕆𝕊 𝕊𝕃𝔸ℙ
933,"I love that background thanos 😂😂  in <a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=618"">10:18</a>"
934,0.5M se pehle ho jaega
935,Lakin sir kabhi na kabhi human ka aant hoga earth se
936,Chicken the favourite food😅😅 actually human are more dangerous than dinosaur
937,Lo fir aagaya 🦖🦕🦖🦕
938,bhaiya ek achaaa sa mic lelo voice clear nhi hoti
939,😮
940,Hello sir kuch log bolte h ki dinosaur ke time or titonoboa sbake bhi tha to ye baat sahi h kya is or video banao
941,I don&#39;t believe in dinosaurs as I have not heard of any dinosaurs in any religion scripts<br>If any one has knowledge on this or any mention of such creatures in any religion script please let me know
942,Insan multi planetary bnne ka sapna sanjo rha hai..Insan apni buddhi ka istemal karke khud ko jinda rkhne ke liye ek baar ko pura planet tabah kar de.
943,We need a video on the ice age
944,The fact that today&#39;s chickens are their closest relatives. 😛
945,As a geologist and an Indian I find it outrageous how you ignored the effect of Deccan basalt (one of the biggest volcanic erruption event) in the causes for mass extinction that killed off dinasour. It&#39;s very surface level research which one could do in less than an hour if one know where to find it
946,YE HE MERE ALLAH KI QUDRAT
947,Evolution of human par video banaiye
948,"Save trees, save animals save nature 🙏"
949,"The extinction of dinosaur 174 million years, but humans doesn&#39;t exist these million years because of spreading pollution widely everywhere"
950,"Benefits of avoiding dairy products and replacing them with plant based milks ( soy milk peanut milk ) ...<br><br>Reduce Animal Cruelty (reduce beef production happening due to dairy products) and PROTECT OUR PLANET EARTH .....<br><br>Stabilize Our environment as Dairy farms produce METHANE which is 80% more dangerous than Carbon di oxide causing currently now Global warming ...<br>                                                            Also  70 to 80 percent agricultural land used for production of foods for this Animal husbandry ( for animals like Chicken, Cows, Goats, Pigs why because we need their meat and milk and for their 1kg meat they eat plant foods like from 5 kg to 25 kg as chicken eats 5 kg cows eats 25 kg ) think how much land we have when no one eat meat ... there will be no population issue ... hunger issue ... enivormental issue ... 😮"
951,This is not true content..... what is the measurement tool to measure 170 million years?
952,Tussi great Ho sir 👍🤗
953,Nice Video
954,Bhai 1 M years ne extinction ho gayaga
955,🙌
956,Interesting video......but I can&#39;t believe that humans were doesn&#39;t exist in dinosaur 🦕 period.....
957,Bhai Greek mythology ka upar ek video banao. Plz
958,Bhai Greek mythology ka upar ek video banao
959,You deserve more followers and likes and love ❤ bro I watched your videos now &amp; your videos are bestest videos
960,Can we break Time period of Dinosaurs?😢
961,Came here to watch video in pinned commy
962,I want a video regarding the holy beliefs about dinosaurs according to vedas or scriptures..that would be very interesting..
963,Wow it&#39;s interesting 😮
964,100million pehle tu paida hua tha kya
965,"I wonder how lizards,turtles, crocodiles etc. Could survive freezing temperatures for 3 years,birds and mammals sure can."
966,2nd time watching 😊
967,भईया मेरे दिमाग में एक सवाल चल रहा है कि पहले भगवान ने जन्म लिया था या डायनासोर ने
968,Dhruv: kya hoga agar ek astroid earth  ko hit karega to ?<br><br>Jupiter be like: No fikar when I am here😂😂
