Comment,Author,Published At,Published Year,Sentiment Type
❤,@Amit2..0,2024-04-17T07:58:09Z,2024,Neutral
1 million tak,@Anujprime12345,2024-04-17T03:42:28Z,2024,Neutral
2M,@AlokchauhanAlokchauhan-bf1wg,2024-04-17T02:54:36Z,2024,Neutral
17 April 2024 me kon kon dekh raha he ❤,@Mahendra-93,2024-04-17T00:47:34Z,2024,Neutral
Collect information from here n there and pile them up.. Already known to those who have studied the facts way bac in their lives.,@D_D2016,2024-04-16T23:03:15Z,2024,Neutral
Kaun kaun iss video ko 2054 ma dekh raha tha 😅,@Somdai-nl9sf,2024-04-16T15:42:47Z,2024,Neutral
Good job sir😊,@rahulshill7864,2024-04-16T15:41:42Z,2024,Positive
Kon kon 2025 me drkh raha he 😂😂😂,@stonecoldlucky99,2024-04-16T14:55:14Z,2024,Neutral
"Aur Dragaon kya hotey hai <br><a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=421"">7:01</a>  shayad hawa mein urrne wale dinasour😂😂",@akriti__,2024-04-15T10:08:33Z,2024,Neutral
If the world keep going in the same way like the way going going now for the humans then the end is very soon,@NurjahanBegum-cb9pu,2024-04-15T06:16:02Z,2024,Neutral
It can prove by doremon 😂,@DropShip23,2024-04-14T15:40:52Z,2024,Neutral
NASA should make weapons to destroy Asteroids,@Biki838,2024-04-14T11:45:10Z,2024,Negative
"Oh, 😳😯 looks like Thanos also wiped out Dinosaurs 🦖🦕 😂😃🤣😆",@Biki838,2024-04-14T11:24:25Z,2024,Neutral
Earth 🌎  is wonderful,@ManishaSharma-kx8ls,2024-04-14T09:17:40Z,2024,Positive
Ha bat sahi hai par hum inshan hi the janwar se inshan nahi bne,@MohdArbaz-xu9pw,2024-04-13T16:37:32Z,2024,Neutral
❤️🙏,@greatlookbysumit5777,2024-04-13T14:06:33Z,2024,Neutral
Cheetah speed 120 km/h<br>Dinasour speed 90km/h<br>Hahahahahah😂😂,@fahadmeer7652,2024-04-13T13:50:25Z,2024,Neutral
kuran me pehle se hi likah ta allah hu  akbar allhamdulila,@RexOfficial93,2024-04-13T11:47:30Z,2024,Neutral
Only for Mahadev like,@abhijitchakraborty4695,2024-04-12T18:21:20Z,2024,Neutral
🙌🏻,@itssmycandyss69,2024-04-12T15:29:54Z,2024,Neutral
Bhai kis yug me Dinosaur aaye the,@manasnaik8563,2024-04-12T14:46:25Z,2024,Neutral
"Great video.....<br><br>it&#39;s quiet dis heartening that we single human species endangering the life of thousands of other species. .....<br><br>at the same time its a great feeling to be a human being as in the same disastrous human  species itself Dhruv Rathee type many wonderfull individuals too live, across the world...Lets hope such people do ensure that this wonderful earth will survive forever...",@Srichand_23,2024-04-12T05:50:49Z,2024,Positive
Correction there is no flying dinosaur they are flying reptiles aur Modern birds therapods dinosaur like t rex and archaeopteryx and velociraptors and etc se evolve hue hai aur  there is no marine dinosaur apne ek video me kha tha spinosaurus sabse पहला sub aquatic dinosaur tha woh bhi confirmed nhi hai aur mai ush year ki baat kar raha hu jab apne video banai thi please galat information share mat karo 😢 ध्यान se research karo apne aap se kuch mat kaho <br>My advice Research carefully please 🙏🙏,@_Beyonder_Realm_,2024-04-12T03:46:08Z,2024,Neutral
Mei dekh rha hun,@mukti8679,2024-04-11T17:13:29Z,2024,Neutral
Tried to explain most appropriate dada Dhrub bhai op❤,@doc_shubham,2024-04-11T12:20:30Z,2024,Positive
Waiting for astroid 2.0 🤯,@rahulthakor5506,2024-04-11T11:33:19Z,2024,Neutral
Good knowledge and videos good work,@allworldchannel2369,2024-04-11T09:29:38Z,2024,Positive
Very beautiful presentation.....very much useful...thank you sir,@atulkadbe4082,2024-04-11T06:28:08Z,2024,Positive
"Mujhe nahi lagta ki hum dinosaurs ko beat kar payenge...jis tarah se sab jaa raha aaj kal....vaise can you imagine, ki jab humans extinct ho jayenge aur naya period shuru hoga tab phirse sab aayega..evolution hoga...sab naya hoga...and who knows phirse insaano ka evolution ho jaye...agar aisa hua to vo bhi research vaigera karenge and phir vo kya bolenge...ki so and so years pehle insaan hua karte the...but then unke hi karan vo extinct ho gaye (sorry...I just overthink...even idk ki mai kyu soch rahi hu ye😅)....and soch kar dekho...puuuuureeee universe me sirf hum jinda jeev hai...matlab sirf hamari dharti par jaan hai...woaahh...feels cool...I mean aap mujhe pagal samajh rahe hoge but mujhe bohot crazy lag raha hai...just think about it...actually overthink..okk sorry for so much nonsense...bas jo laga vo likh diya..sunne wala koi nahi hai to likh hi diya😂",@siddhitrankatwar1325,2024-04-10T17:40:03Z,2024,Neutral
"<a href=""https://www.youtube.com/watch?v=ZJG1FjH1cEE&amp;t=1105"">18:25</a>",@piyushprakash9813,2024-04-10T02:18:15Z,2024,Neutral
Me,@indianridershams,2024-04-09T19:39:14Z,2024,Neutral
BJP hai to jalad hi tabahi aane wali <br>Kohram aayega sab insano sath le jayega hasna nahi I&#39;m serious,@user-fq4te9nz1v,2024-04-09T15:50:53Z,2024,Neutral
"Na hi insan 3lakh saal se hain aur na hi dinosaurs jitna zinda rah payenge, aur mujhe aisa lagta nahi hai balkeh haqiqat hi yahi hai",@mohddilshad4818,2024-04-09T12:37:42Z,2024,Neutral
What about zacharys,@satnamsingh-ds7id,2024-04-09T11:19:28Z,2024,Neutral
morena  m p india,@rehmankhan977,2024-04-09T10:41:30Z,2024,Neutral
What did dinosaurs eat back then ?,@mahpara8794,2024-04-09T09:40:23Z,2024,Neutral
Meeh,@dancewithjanki9016,2024-04-09T04:03:23Z,2024,Neutral
"सर जी, <br>मै विश्वास नही कर पा रहा हूँ  कि 6356.7 km radius वाली पृथ्वी को मात्र 10-15 km वाली बाहरी गोला के टक्कर से ऐसा सब कुछ हुआ?.....🤔🤝",@Successnk,2024-04-08T16:40:58Z,2024,Neutral
According to my village we defeat danisores,@user-px2ps3th1n,2024-04-08T12:40:51Z,2024,Neutral
Me joh question soch Raha tha 16.45 tha.,@theunbeatableboyssvlog2077,2024-04-08T09:49:52Z,2024,Neutral
Ye sab apne. Aap paida hue to fir only male female he ku hai or bhi kuch 3 ya 4 bhi kuch ho skta tha,@f.k.fardeenkhan6431,2024-04-08T06:33:42Z,2024,Neutral
Thanks for sharing bro 🙏,@nitishsadasing2100,2024-04-08T03:50:07Z,2024,Positive
Dhrub vai ap ek video banawona  astroit se releted,@user-cz3el8ku5o,2024-04-07T18:02:44Z,2024,Neutral
Superb 🎉,@frnd4me,2024-04-07T17:49:38Z,2024,Positive
Kon kon Aaj dekh rha hai?,@Dark2k,2024-04-07T17:48:40Z,2024,Neutral
Sir ji aap plz abhi ek video  banaye in deep  climate change  par is ki bahot jarurat hya abhi ke time par,@yamendragadge123,2024-04-07T16:44:16Z,2024,Neutral
100 -1000 times is the ncert lines for neet aspirant😧,@shashanksingh3153,2024-04-07T14:56:56Z,2024,Neutral
Very nice video with a scientific approach,@spsingh6525,2024-04-07T09:00:51Z,2024,Positive
Bilkul nahi rah payenge insan dinosaur jitna,@Nature_videos369,2024-04-07T08:47:36Z,2024,Neutral
Asteroid ka evidence diya apney<br>Satyug dvaparug tritaug kab huva tha,@user-nv2nb7ez8n,2024-04-07T06:22:58Z,2024,Neutral
who  see this video from 2035,@Tellifying,2024-04-07T05:45:50Z,2024,Neutral
Great video Dhruv Bhai ❤❤,@ShivBhardwaj9973,2024-04-06T11:52:51Z,2024,Positive
Video is good but human ke bary me Jo AP ke information he ke insan phele asa tha or asa he wo wrong he insan early age se he perfect  tha Allah ne insan ko perfect banaya he,@zahramustafa191,2024-04-05T14:58:10Z,2024,Positive
100 million tk people ❤😅,@habibhusain2899,2024-04-05T14:18:04Z,2024,Neutral
really informative,@asmitamahara5064,2024-04-04T18:15:10Z,2024,Positive
Sir can you make video about multiple universe,@user-jg8fr6pd1h,2024-04-04T17:26:25Z,2024,Neutral
🙏🙏👍👍,@indradvloge6516,2024-04-04T15:36:15Z,2024,Neutral
Nah but some people randomly mixed some sounds and called it a dinosaur’s roar without hearing it themselves and we just accepted it?😭,@KuKu_G,2024-04-04T10:52:51Z,2024,Neutral
Sab word Greek word se keu banta hyin 😢😂,@hackeryt779,2024-04-03T17:08:30Z,2024,Neutral
What if dinosaur evolves to humans if they were not exitint,@ashishaslamgill3232,2024-04-03T15:42:34Z,2024,Neutral
Dragons ke bare me bhi ek video bana do,@user-bb4dm6uf1l,2024-04-03T13:25:37Z,2024,Positive
Allah,@sakibmollik4548,2024-04-03T11:30:04Z,2024,Neutral
Insan nhi manege to Dave ke sath kehta hu ki earth bilkul tbah hoga,@harkiratsingh5266,2024-04-03T08:42:05Z,2024,Neutral
Human Bhi Aise Extinct ho jaye 😂😂😂,@CR.RAHUL_7,2024-04-03T04:43:25Z,2024,Negative
Kon Kon 2026 mai Videos Dekh  raha hai 😅,@V7Boyff,2024-04-03T03:29:43Z,2024,Neutral
Sirji YETI ke bare me bataiye😂,@hemantkispotta3212,2024-04-02T19:32:12Z,2024,Positive
Mere khayal se agar hame earth 🌎 ko only jansnkhya par kabhu pa kar hi bachha sakte hai anyatha nhi,@pawankumar5065,2024-04-02T15:24:52Z,2024,Negative
Hu,@mohitbhai850,2024-04-02T15:10:21Z,2024,Neutral
Kaun kaun 2 April ko dekh raha hai vo like krega,@DivyanshuGoswami-uk2ez,2024-04-02T10:57:25Z,2024,Neutral
Love u all,@dirtysinger5377,2024-04-02T04:03:06Z,2024,Positive
Aisa toh kabhi nhi ho skta ki ek bhi dinosaurs nhi bacha hoga,@AshishKumar-fp8wr,2024-04-02T01:37:48Z,2024,Neutral
Sir jeveirope asia america canada jaise desh kaise bne log kaise alag huye. Inpr video bnana.. Jaroor,@ArshPreet-zg2td,2024-04-01T21:06:19Z,2024,Neutral
Insan bohut jokdi kotom ho jayega kiya mot ayega<br>Ye hamara nabi: ka kehna he ahi sach he,@alanowar3115,2024-04-01T21:00:16Z,2024,Neutral
Form Bangladesh ❤,@alanowar3115,2024-04-01T20:50:16Z,2024,Neutral
That was not a asteroid who destroyed life that was nowadays word a nuclear bomb which we human blasted towards earth so that we can shift and start living here,@sourabhmahindrakar3422,2024-04-01T12:13:06Z,2024,Neutral
Jo log puch rahe hai ki kon kon 2024 me dekh raha hai toh unko batadu ki gira hua insaan main hoon,@hamidurhoque106,2024-03-31T22:41:26Z,2024,Neutral
LailahaillALLAH Muhammad ur rasoolulALLAH 😊,@usmanbhai-ed9mj,2024-03-31T17:52:31Z,2024,Neutral
Aaj k time m paisa kmane m lge log nature ko nhi dekhna chahate ese log apne swarth k liye nature ko continues harm kr rhe h..,@rajchauhan3985,2024-03-31T17:31:31Z,2024,Neutral
Mai,@anjalibarman-hn2qo,2024-03-31T17:25:39Z,2024,Neutral
Great video 👌👌👌🙏,@FNofAK,2024-03-31T16:21:02Z,2024,Positive
"I am kattar hindu and pro BJP supporter, but I like your videos except political videos",@adityachoudhary7294,2024-03-31T10:12:54Z,2024,Neutral
Muslim hatao desh bachao,@kanxathapa3425,2024-03-31T09:45:27Z,2024,Neutral
Oye laoro,@Qasim_Bhai_LP,2024-03-31T00:35:47Z,2024,Neutral
डायनासोर का जो इमेजिंग ड्रॉइंग है वो ऐसा नहीं था | ब्लकि ये बड़े आकार के पंछी होता था जो सतयुग और त्रेता युग के लोगों को एक स्थान से दूसरे स्थान तक ले जाने का काम में आता था | ये कुछ ऊँचाई तक उड़ान भी भरता था | ये शाकाहारी होते थें | इनकी प्रजाति इसलिए खत्म हो गया पहला कारण ये है कि इनकी जनसंख्या काफी कम हुआ करता था और दूसरा कारण ये है कि त्रेता युग के अंत और द्वापर युग की आदि के बीच के समय में पृथ्वी पर एक अर्ध विनाश होता है और इस विनाश के साथ साथ इस डायनासोर की प्रजाति खत्म हो गई थी और उसी समय ही इसी अर्ध विनाश में पृथ्वी का एक हिस्सा टूट कर बहुत दूर तक छिटक गया जिसे आज हम सभी चंद्रमा के नाम से जानते हैं जी हाँ चंद्रमा पृथ्वी का ही एक हिस्सा है | जो आज उस चंद्रमा के भाग को हम सभी समुद्र से भरे हुए रूप में देखते हैं | चिड़िया की प्रजाति अलग है वो डायनासोर से नहीं बना है | सतयुग और त्रेता युग में चंद्रमा नहीं था इसीलिए उस समय रात नहीं होती थी I और अब हम जो पृथ्वी पर दिन रात देखते हैं वो इसी चंद्रमा के कारण ही है | राठी जी इस पर आप अपना खुद का विचार कीजिए | क्योंकि कुछ चीजो का सत्य ना ही किताबों में मिलेगी<br> और ना ही हिस्ट्री में |<br>इसका जो नाम इतना भयानक रखा गया गया है डायनासोर वास्तव में इतने भयानक नहीं होते थे | ये पालतू होते थें जिसकी सवारी एक छोटा बच्चा भी कर सकता था बिना किसी डर के | लोगों ने इसको भयानक रूप दे दिए भयानक आवाज दे दिए | जो बिल्कुल भी सत्य नहीं है |,@Manthangyan1976,2024-03-30T17:52:43Z,2024,Neutral
"To know how many more years we will exist, will we beat dinosaur period or not for that i should be alive na 😅",@shwethakumari2848,2024-03-30T16:16:57Z,2024,Positive
Humans are doing continuously odd and even research in a big numbers so humans are doing suicide in different ways.,@gayurhasan6767,2024-03-30T06:58:08Z,2024,Negative
Mu ban kar bhai,@user-rw7jq4ck4b,2024-03-30T03:39:00Z,2024,Neutral
What are the chances of Dinosaur coming back,@cks415,2024-03-29T17:46:25Z,2024,Neutral
मुझे लगता है की 1m bahut hai,@mohdirshadhayat770,2024-03-29T16:32:18Z,2024,Neutral
FLIGHT 914 ki mystery ko explain kro na bhai❤,@DevilxRaaz0001,2024-03-29T14:36:31Z,2024,Neutral
आप सेंटर में नहीं साईड में रहा करो विडियो में खड़े 😊😊,@AartiKumari-rj2pt,2024-03-29T10:37:55Z,2024,Neutral
Behtreen video Sir🎉,@statusdream5595,2024-03-29T10:23:26Z,2024,Neutral
Mai esko 2024 mai dekh rhi hu or mujhe esi videos bahut pasand hai sir ❤❤❤❤,@shreyarathore9716,2024-03-29T09:12:16Z,2024,Neutral
saare dharmo ki pol ye dinosaurs hi khol dete h 😂,@princevashishth9831,2024-03-29T03:27:04Z,2024,Neutral
Mai hi iss video ko raat ke  2 baje search karke dekh rahin hun?,@asthatiwari2008,2024-03-28T16:34:17Z,2024,Neutral
Dhruv sir samudra Ka Pani khara kaise hua please video banakar bataiye sir 🙏🙏🙏🙏,@hemangtyagi7267,2024-03-28T16:12:46Z,2024,Neutral
Sir yuge ke bare me bataiye,@Smvikki,2024-03-28T14:47:50Z,2024,Positive
Dragon ka vi explanation lao 2024,@user-fq1pp4ul8m,2024-03-28T14:08:24Z,2024,Neutral
You are not better than getsetfly science. He is clearly explain mass extinction in his video..,@jugeswarmajhi4873,2024-03-28T14:07:20Z,2024,Positive
Kon. Kon. 2030 me tegharha,@NituDevi-ew4qc,2024-03-28T13:36:45Z,2024,Neutral
Dhruv rathee and zem TV is one of the best history and geography channel in the world,@safi423,2024-03-28T12:26:22Z,2024,Positive
Bro you are doing a great job and how easily u explain everything makes it very interesting its really impressive,@Surrey-xx8kr,2024-03-28T04:21:31Z,2024,Positive
Waooo such a good informative vedio. Thanku brother to make it.,@SandeepKumar-wd4km,2024-03-27T15:36:14Z,2024,Positive
Who is watching in 2025,@BadmashPro-cc3tr,2024-03-27T14:41:32Z,2024,Neutral
Hello everyone please follow me @salmanroylzz,@salmanroylzz,2024-03-27T06:34:57Z,2024,Neutral
Dhruv bhai isme koi dohrai nahi ke dianasore the lekin ye galat hai ke hum insano vajood nhi tha .. insano ne ye pichle 300sal pahele ke vaigyanic  ne zaroor pata Kiya hoga.. lekin humare puran Gita aur ved jaise mahan granth in logo se pahele hi sab kuch likha hai ..<br>Aur apki video kaafi nolage . Aur motive karti hai ..aur apki sab Umar ke log dekhte hai aur zyada tar yuva..<br>Unke dimag aap concept bana Diye ho .ke jo kuch hai ciance hai .. aap mutabit humare granth galat hai matlab. Aur ciance sahi hai ky ..<br>Plz bhai.. jo aaj samay bache dekhte hai samaz te hai. vo vaisa hi mante hai ...plz aap dono chij prectical tarike bataiye... Vaigyanic khud thodi 100milion saal pahele gaye the unko Jo kuch chijo ke ansh mile us par reserch karke unhone apni baat lekin   .. lekin aap humare Bharat ke ache aur bade YouTuber ho agar aap. Is tarah video ko dalege to aapke fans yuva ko jo bataya jayega vahi manege .. plz .. you not brain wash yuth..👍 anurodh hai aapse.,@vishalgaming6530,2024-03-27T04:05:50Z,2024,Neutral
It calls Qayamat,@mohdsafeelkhan7031,2024-03-26T20:14:19Z,2024,Neutral
Kon kon video Aaj dekh raha hai ❤❤❤❤❤❤❤,@ajayKumar-zu1ug,2024-03-26T17:04:13Z,2024,Neutral
Manob khudke sath sath other animals kovi khatam ker dega😅😅😅,@uttambaba6800,2024-03-26T16:27:21Z,2024,Neutral
Above of excellent,@HamidAli-iy6oo,2024-03-26T16:23:43Z,2024,Positive
What about in just few years,@44.mohitkundu51,2024-03-26T15:37:16Z,2024,Neutral
1 million me hi insan vilupt 😂😂,@comeinindia344,2024-03-26T15:16:27Z,2024,Neutral
"अच्छा हे सर, के आज के दिन कोई बहुत बड़ी अल्का आके धरती से टकरा जाए, ताकि इंसानों के बाद बाकी जीव आराम से रह सके...",@Irfan614,2024-03-26T09:17:05Z,2024,Neutral
An outline  of  your  video  should  be  included  in school  syllabuses,@krishnamohan1065,2024-03-26T01:37:14Z,2024,Neutral
I do. Appreciate  your  effort  to  bring  awareness  that  humans are causing,@krishnamohan1065,2024-03-26T01:35:53Z,2024,Neutral
A very detailed and informative video. I am addicted to this channel now. Great work. Keep it up bro,@SaggiKashif,2024-03-26T01:22:29Z,2024,Neutral
India as unit also should do for  nature,@Nisha___shorts,2024-03-25T19:35:29Z,2024,Neutral
उस समय भगवान कहा थे,@Bhupendarkumar4282,2024-03-25T17:27:49Z,2024,Neutral
And many god,@nirmalasongara1638,2024-03-25T17:16:57Z,2024,Positive
Iq 9999,@starmirajgaming6998,2024-03-24T19:39:08Z,2024,Neutral
Yr main ped  phode lagau ga bahut sare ped❤,@SureshSinghChahal-pn1zs,2024-03-24T11:06:24Z,2024,Positive
We should save our earth😢,@HOMALANDER,2024-03-24T01:54:06Z,2024,Neutral
Kon kon ye video 2030 me dekh raha hain,@supermovies8244,2024-03-23T19:26:46Z,2024,Neutral
Way before 1 million years,@aryangodara018,2024-03-23T17:32:08Z,2024,Neutral
Kon kon ajj dekh rahe ho,@Assam_unique_07_,2024-03-23T16:34:05Z,2024,Neutral
